Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos Summary
Drew,J.D.,ATL,NL,142,142,10.0,OF
Dubois,Jason,CHC,NL,6,2,-1.0,OF-1B
Duncan,Jeff,NYM,NL,4,2,1.0,OF
Dunn,Adam,CIN,NL,158,155,6.0,OF-1B
Durazo,Erubiel,OAK,AL,4,3,-2.0,1B
Durham,Ray,SFG,NL,118,115,1.0,2B
Durrington,Trent,MIL,NL,17,10,-4.0,3B-2B-P
Dye,Jermaine,OAK,AL,134,132,6.0,OF
Díaz,Einar,MON,NL,45,37,-4.0,C-3B
Easley,Damion,FLA,NL,66,45,4.0,2B-1B-SS-3B-OF
Eckstein,David,ANA,AL,138,136,0.0,SS
Edmonds,Jim,STL,NL,147,142,13.0,OF-1B
Ellison,Jason,SFG,NL,4,0,0.0,OF
Encarnacion,Juan,TOT,NL,133,131,1.0,OF
Ensberg,Morgan,HOU,NL,118,103,-3.0,3B-SS
Erickson,Matt,MIL,NL,2,1,1.0,2B-SS
Erstad,Darin,ANA,AL,124,124,-1.0,1B
Escalona,Felix,NYY,AL,5,2,1.0,SS-3B
Escobar,Alex,CLE,AL,42,42,0.0,OF
Estalella,Bobby,TOT,ZZ,9,6,-1.0,C
Estrada,Johnny,ATL,NL,133,120,-5.0,C
Everett,Adam,HOU,NL,99,97,10.0,SS
Everett,Carl,TOT,ZZ,34,34,-3.0,OF
Feliz,Pedro,SFG,NL,127,110,7.0,1B-3B-SS-OF
Fick,Robert,TOT,MLB,34,28,-1.0,OF-1B-C
Figgins,Chone,ANA,AL,146,142,-3.0,3B-OF-2B-SS
Finley,Steve,TOT,NL,158,157,1.0,OF
Flaherty,John,NYY,AL,46,35,0.0,C
Flores,Jose,LAD,NL,1,1,0.0,3B-2B
Floyd,Cliff,NYM,NL,106,105,-7.0,OF
Ford,Lew,MIN,AL,126,121,6.0,OF
Fordyce,Brook,TBD,AL,51,46,0.0,C
Fox,Andy,TOT,MLB,19,6,2.0,2B-SS-3B-OF-1B
Franco,Julio,ATL,NL,84,71,2.0,1B
Freel,Ryan,CIN,NL,137,128,1.0,OF-3B-2B
Freeman,Choo,COL,NL,41,24,-8.0,OF
Fullmer,Brad,TEX,AL,4,3,-1.0,1B
Furcal,Rafael,ATL,NL,132,130,1.0,SS-2B
Galarraga,Andres,ANA,AL,1,1,1.0,1B
Garcia,Daniel,NYM,NL,44,40,-1.0,2B
Garcia,Jesse,ATL,NL,37,26,-1.0,SS-2B-3B
Garcia,Karim,TOT,MLB,71,61,-2.0,OF-1B
Garciaparra,Nomar,TOT,ZZ,79,78,-12.0,SS
Gathright,Joey,TBD,AL,16,14,-7.0,OF
German,Esteban,OAK,AL,25,13,-1.0,3B-2B
Gerut,Jody,CLE,AL,131,122,-5.0,OF
Gettis,Byron,KCR,AL,21,15,-3.0,OF
Giambi,Jason,NYY,AL,47,47,-3.0,1B
Gibbons,Jay,BAL,AL,79,75,10.0,OF-1B
Gil,Geronimo,BAL,AL,11,8,1.0,C
Gil,Jerry,ARI,NL,28,24,1.0,SS
Giles,Brian,SDP,NL,159,158,-10.0,OF
Giles,Marcus,ATL,NL,97,94,6.0,2B
Ginter,Keith,MIL,NL,103,95,-4.0,2B-3B-OF
Gipson,Charles,TBD,AL,4,0,1.0,OF-SS
Glanville,Doug,PHI,NL,68,30,8.0,OF
Glaus,Troy,ANA,AL,19,19,-4.0,3B
Gload,Ross,CHW,AL,78,46,-8.0,OF-1B
Gomez,Alexis,KCR,AL,12,7,1.0,OF
Gomez,Chris,TOR,AL,102,88,-3.0,SS-1B-3B-2B
Gonzalez,Alex,FLA,NL,158,155,0.0,SS
Gonzalez,Alex,TOT,NL,81,77,-7.0,SS
Gonzalez,Juan,KCR,AL,29,29,-11.0,OF
Gonzalez,Luis,COL,NL,88,70,-13.0,2B-OF-3B-SS
Gonzalez,Luis,ARI,NL,104,103,-17.0,OF
Gonzalez,Raul,CLE,AL,4,2,1.0,OF
González,Adrián,TEX,AL,11,10,-1.0,1B
Goodwin,Tom,CHC,NL,28,11,-2.0,OF
Gotay,Ruben,KCR,AL,42,41,-5.0,2B
Grabowski,Jason,LAD,NL,33,23,0.0,OF-1B
Graffanino,Tony,KCR,AL,75,72,4.0,2B
Granderson,Curtis,DET,AL,8,7,-1.0,OF
Green,Andy,ARI,NL,36,22,0.0,3B-2B-OF
Green,Nick,ATL,NL,80,61,2.0,2B-3B-OF
Green,Shawn,LAD,NL,153,153,-8.0,1B-OF
Greene,Khalil,SDP,NL,136,134,7.0,SS
Greene,Todd,COL,NL,53,48,-6.0,C
Grieve,Ben,TOT,NL,69,66,-7.0,OF
Griffey Jr.,Ken,CIN,NL,77,77,-7.0,OF
Grissom,Marquis,SFG,NL,142,138,5.0,OF
Gross,Gabe,TOR,AL,38,33,-3.0,OF
Grudzielanek,Mark,CHC,NL,76,61,5.0,2B
Guerrero,Vladimir,ANA,AL,143,143,6.0,OF
Guerrero,Wilton,KCR,AL,18,4,-2.0,2B-OF-SS-3B-1B
Guiel,Aaron,KCR,AL,39,35,3.0,OF
Guillen,Carlos,DET,AL,135,133,-17.0,SS
Guillen,Jose,ANA,AL,136,136,-5.0,OF
Gutierrez,Ricky,TOT,MLB,40,23,-1.0,2B-SS-3B
Guzman,Cristian,MIN,AL,145,143,-12.0,SS
Guzman,Freddy,SDP,NL,17,16,2.0,OF
Hafner,Travis,CLE,AL,11,10,-1.0,1B
Hairston,Jerry,BAL,AL,62,60,-1.0,OF-2B-3B
Hairston,Scott,ARI,NL,88,83,-2.0,2B-OF
Hall,Bill,MIL,NL,97,88,5.0,2B-SS-3B
Hall,Toby,TBD,AL,119,115,1.0,C
Halter,Shane,ANA,AL,43,28,-7.0,3B-2B-SS-1B
Hammock,Robby,ARI,NL,59,52,-3.0,C-OF-3B
Hammonds,Jeffrey,SFG,NL,28,22,3.0,OF
Hansen,Dave,TOT,ZZ,22,7,1.0,1B-3B
Harris,Brendan,TOT,NL,17,16,-7.0,2B-3B
Harris,Lenny,FLA,NL,17,9,0.0,OF-3B
Harris,Willie,CHW,AL,117,101,-5.0,2B-OF
Hart,Bo,STL,NL,5,3,0.0,2B-SS
Harvey,Ken,KCR,AL,77,77,-9.0,1B-OF
Hatteberg,Scott,OAK,AL,148,143,-2.0,1B
