,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos
285,Eckstein,David,331.0,ANA,AL,637.0,2.0,35.0,16.0,0.276,0.671,,,,
286,Edmonds,Jim,332.0,STL,NL,612.0,42.0,111.0,8.0,0.301,1.061,,,,
287,,,,,,,,,,,,156.0,154.0,9.0,OF
288,,,,,,,,,,,,154.0,154.0,5.0,SS
289,,,,,,,,,,,,149.0,146.0,1.0,2B-SS
292,Encarnacion,Juan,340.0,TOT,NL,532.0,16.0,62.0,5.0,0.236,0.704,,,,
293,,,,,,,,,,,,137.0,123.0,-7.0,OF
294,,,,,,,,,,,,154.0,153.0,17.0,OF
295,,,,,,,,,,,,125.0,122.0,9.0,3B-OF
296,Erstad,Darin,347.0,ANA,AL,543.0,7.0,69.0,16.0,0.295,0.746,142.0,139.0,-2.0,OF
302,Estrada,Johnny,355.0,ATL,NL,517.0,9.0,76.0,0.0,0.314,0.828,,,,
303,,,,,,,,,,,,146.0,145.0,5.0,C
304,,,,,,,,,,,,144.0,138.0,3.0,2B
305,,,,,,,,,,,,139.0,138.0,2.0,2B
311,Feliz,Pedro,368.0,SFG,NL,531.0,22.0,84.0,5.0,0.276,0.79,139.0,137.0,-12.0,1B
314,,,,,,,,,,,,145.0,140.0,8.0,OF
316,Figgins,Chone,375.0,ANA,AL,638.0,5.0,60.0,34.0,0.296,0.77,,,,
320,Finley,Steve,379.0,TOT,NL,706.0,36.0,94.0,9.0,0.271,0.823,,,,
328,,,,,,,,,,,,142.0,141.0,-5.0,OF
329,Ford,Lew,390.0,MIN,AL,658.0,15.0,72.0,20.0,0.299,0.827,,,,
331,,,,,,,,,,,,148.0,148.0,4.0,OF
332,,,,,,,,,,,,161.0,159.0,3.0,1B
336,,,,,,,,,,,,129.0,123.0,-4.0,C
343,Freel,Ryan,408.0,CIN,NL,592.0,3.0,28.0,37.0,0.277,0.743,,,,
344,,,,,,,,,,,,132.0,125.0,-5.0,C
348,Furcal,Rafael,413.0,ATL,NL,632.0,14.0,59.0,29.0,0.279,0.758,,,,
349,,,,,,,,,,,,154.0,154.0,1.0,2B
350,,,,,,,,,,,,154.0,153.0,4.0,3B
351,,,,,,,,,,,,139.0,135.0,-3.0,C-OF-1B
353,,,,,,,,,,,,151.0,150.0,11.0,SS-2B
360,,,,,,,,,,,,147.0,122.0,-1.0,OF-3B-1B
