,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
536,Jones,Jacque,631,MIN,AL,608,24,80,13,0.254,0.742,0.328,-0.1,142,139,-2,OF,0
546,Kendall,Jason,643,PIT,NL,658,3,51,11,0.319,0.789,0.365,3.9,146,145,5,C,0
548,Kennedy,Adam,644,ANA,AL,533,10,48,15,0.278,0.757,0.344,3.3,144,138,3,2B,0
550,Kent,Jeff,647,HOU,NL,606,27,107,7,0.289,0.88,0.386,4,139,138,2,2B,0
566,Konerko,Paul,666,CHW,AL,643,41,117,1,0.277,0.894,0.387,2.3,139,137,-12,1B,0
570,Kotsay,Mark,670,OAK,AL,673,15,63,8,0.314,0.829,0.365,4.6,145,140,8,OF,0
587,Lawton,Matt,687,CLE,AL,680,20,70,23,0.277,0.787,0.358,1.3,142,141,-5,OF,0
590,Lee,Carlos,692,CHW,AL,658,31,99,11,0.305,0.891,0.386,5,148,148,4,OF,0
591,Lee,Derrek,694,CHC,NL,688,32,98,12,0.278,0.86,0.38,2.7,161,159,3,1B,0
604,Lieberthal,Mike,709,PHI,NL,529,17,61,1,0.271,0.783,0.345,0.6,129,123,-4,C,0
620,Lopez,Javy,731,BAL,AL,638,23,86,0,0.316,0.872,0.383,4.8,132,125,-5,C,0
627,Loretta,Mark,738,SDP,NL,707,16,76,5,0.335,0.886,0.395,6,154,154,1,2B,0
629,Lowell,Mike,740,FLA,NL,671,27,85,5,0.293,0.87,0.382,4.3,154,153,4,3B,0
631,Lo Duca,Paul,719,TOT,NL,594,13,80,4,0.286,0.758,0.338,3.2,139,135,-3,C-OF-1B,0
633,Lugo,Julio,743,TBD,AL,655,7,75,21,0.275,0.734,0.338,3.6,151,150,11,SS-2B,0
641,Mackowiak,Rob,749,PIT,NL,555,17,75,13,0.246,0.739,0.333,1.5,147,122,-1,OF-3B-1B,0
660,Martinez,Victor,774,CLE,AL,591,23,108,0,0.283,0.851,0.372,3.7,132,124,-3,C,0
669,Matsui,Hideki,782,NYY,AL,680,31,108,3,0.298,0.912,0.404,5,160,160,-14,OF,0
699,Miles,Aaron,821,COL,NL,566,6,47,12,0.293,0.697,0.316,1.2,128,116,4,2B,0
700,Millar,Kevin,822,BOS,AL,588,18,74,1,0.297,0.857,0.383,2.8,137,132,-7,OF-1B,0
