Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos
Pedroia,Dustin,969,BOS,AL,609,7,53,6,0.278,0.712,0.326,3.9,135,133,15,2B
Pence,Hunter,975,SFG,NL,708,20,74,13,0.277,0.777,0.35,4,161,161,-9,OF
Peralta,Jhonny,979,STL,NL,628,21,75,3,0.263,0.779,0.355,5.8,152,151,13,SS
Perez,Salvador,990,KCR,AL,606,17,70,1,0.26,0.692,0.315,3.6,146,143,8,C
Plouffe,Trevor,1011,MIN,AL,582,14,80,2,0.258,0.751,0.342,4.2,127,127,-1,3B
Posey,Buster,1018,SFG,NL,605,22,89,0,0.311,0.854,0.379,5.1,142,139,11,C-1B
Prado,Martín,1019,TOT,MLB,573,12,58,3,0.282,0.733,0.335,3.2,140,136,15,3B-2B-OF
Puig,Yasiel,1026,LAD,NL,640,16,69,11,0.296,0.863,0.385,4.9,144,141,-5,OF
Ramirez,Aramis,1041,MIL,NL,531,15,66,3,0.285,0.757,0.34,1,126,126,2,3B
Ramírez,Alexei,1040,CHW,AL,657,15,74,21,0.273,0.713,0.323,3.5,158,157,-7,SS
Rendon,Anthony,1063,WSN,NL,683,21,83,17,0.287,0.824,0.369,6.5,152,151,14,3B-2B
Revere,Ben,1064,PHI,NL,626,2,28,49,0.306,0.686,0.329,1.1,141,132,-8,OF
Reyes,José,1065,TOR,AL,655,9,51,30,0.287,0.726,0.344,3.4,142,141,-3,SS
Rizzo,Anthony,1074,CHC,NL,616,32,78,5,0.286,0.913,0.402,5.6,140,140,7,1B
Rollins,Jimmy,1096,PHI,NL,609,17,55,28,0.243,0.717,0.339,4.1,131,129,12,SS
Sandoval,Pablo,1142,SFG,NL,638,16,73,0,0.279,0.739,0.337,3.2,151,150,8,3B
Santana,Carlos,1144,CLE,AL,660,27,85,5,0.231,0.792,0.358,2.8,129,129,1,1B-3B-C
Seager,Kyle,1171,SEA,AL,654,25,96,7,0.268,0.788,0.35,6.3,157,157,26,3B
Segura,Jean,1172,MIL,NL,557,5,31,20,0.246,0.614,0.289,0.9,144,139,8,SS
Simmons,Andrelton,1186,ATL,NL,576,7,46,4,0.244,0.617,0.282,2.6,146,144,13,SS
Smith,Seth,1198,SDP,NL,521,12,48,1,0.266,0.807,0.364,3.4,124,118,5,OF
Solarte,Yangervis,1208,TOT,MLB,535,10,48,0,0.26,0.705,0.322,1.4,129,124,-5,3B-2B-OF-SS
Span,Denard,1222,WSN,NL,668,5,37,31,0.302,0.771,0.356,4.3,147,144,10,OF
Stanton,Giancarlo,1227,MIA,NL,638,37,105,13,0.288,0.95,0.409,6.5,143,142,14,OF
Strange-Gordon,Dee,1236,LAD,NL,650,2,34,64,0.289,0.704,0.327,3.5,144,139,3,2B
Trout,Mike,1288,LAA,AL,705,36,111,16,0.287,0.939,0.413,7.7,149,149,-1,OF
Upton,B.J.,1300,ATL,NL,582,12,35,20,0.208,0.62,0.287,-0.1,139,135,8,OF
Upton,Justin,1301,ATL,NL,641,29,102,8,0.27,0.833,0.365,3.1,150,150,9,OF
Utley,Chase,1303,PHI,NL,664,11,78,10,0.27,0.746,0.337,3.7,147,147,3,2B-1B
Valbuena,Luis,1305,CHC,NL,547,16,51,1,0.249,0.776,0.348,2.5,140,122,-6,3B-2B
Viciedo,Dayán,1322,CHW,AL,563,21,58,0,0.231,0.686,0.314,-0.5,131,127,-6,OF-1B
Walker,Neil,1338,PIT,NL,571,23,76,2,0.271,0.809,0.36,3.6,135,132,1,2B
Werth,Jayson,1353,WSN,NL,629,16,82,9,0.292,0.849,0.384,4.2,139,137,-1,OF
Wright,David,1387,NYM,NL,586,8,63,8,0.269,0.698,0.313,2.1,133,133,-5,3B
Yelich,Christian,1392,MIA,NL,660,9,54,21,0.284,0.764,0.351,3.8,144,142,7,OF
Zobrist,Ben,1404,TBR,AL,654,10,52,10,0.272,0.749,0.339,4.4,137,137,6,2B-OF-SS
