Last Name,First Name,Rk,Tm,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
DeRosa,Mark,313,CHC,574,10,72,1,0.293,0.792,0.356,2.2,147,138,7,2B-3B-OF-1B-SS,0
Delgado,Carlos,310,NYM,607,24,87,4,0.258,0.781,0.34,0.2,138,138,0,1B,0
Drew,J.D.,332,BOS,552,11,64,4,0.27,0.796,0.367,2.1,135,126,5,OF,0
Drew,Stephen,333,ARI,619,12,60,9,0.238,0.683,0.308,0,147,143,-6,SS,0
Dunn,Adam,342,CIN,632,40,106,9,0.264,0.94,0.403,1.4,144,142,-12,OF,0
Durham,Ray,347,SFG,528,11,71,10,0.218,0.638,0.3,-1.1,124,117,-1,2B,0
Dye,Jermaine,348,CHW,561,28,78,2,0.254,0.804,0.349,-1.6,135,135,-16,OF,0
Ellis,Mark,355,OAK,642,19,76,9,0.276,0.777,0.349,4.8,150,149,15,2B,0
Encarnación,Edwin,361,CIN,560,16,76,8,0.289,0.794,0.364,1.5,137,134,-21,3B,0
Ethier,Andre,372,LAD,507,13,64,0,0.284,0.802,0.344,1.1,145,117,4,OF,0
Feliz,Pedro,385,SFG,590,20,72,2,0.253,0.708,0.311,2.3,148,142,16,3B-1B-OF-C,0
Fielder,Prince,388,MIL,681,50,119,2,0.288,1.013,0.42,3.6,153,151,-11,1B,0
Francoeur,Jeff,408,ATL,696,19,105,5,0.293,0.782,0.342,3.3,162,162,16,OF,0
Furcal,Rafael,416,LAD,643,6,47,25,0.27,0.687,0.317,1.9,138,138,11,SS,0
Garko,Ryan,428,CLE,541,21,61,0,0.289,0.842,0.378,1.4,125,121,-5,1B,0
Giles,Brian,441,SDP,552,13,51,4,0.271,0.777,0.342,1.5,120,120,-24,OF,0
Gonzalez,Luis,459,LAD,526,15,68,6,0.278,0.793,0.353,0.1,127,126,-10,OF,0
González,Adrián,453,SDP,720,30,100,0,0.282,0.849,0.366,2.5,161,161,9,1B,0
Gordon,Alex,461,KCR,601,15,60,14,0.247,0.725,0.323,2,149,145,3,3B-1B-SS,0
Granderson,Curtis,469,DET,676,23,74,26,0.302,0.913,0.404,7.6,157,140,-3,OF,0
Greene,Khalil,473,SDP,659,27,97,4,0.254,0.759,0.332,3.5,153,153,8,SS,0
Griffey Jr.,Ken,476,CIN,623,30,93,6,0.277,0.869,0.372,0.7,133,131,-19,OF,0
Guillen,Jose,485,SEA,659,23,99,5,0.29,0.813,0.373,3.5,147,144,-12,SS-1B,0
Guillen,Carlos,484,DET,630,21,102,13,0.296,0.859,0.369,3.1,150,150,-6,OF,0
Hall,Bill,499,MIL,503,14,63,4,0.254,0.74,0.319,0.6,130,116,-5,OF,0
Hardy,J.J.,514,MIL,638,26,80,2,0.277,0.786,0.343,3.2,149,145,0,SS,0
Harris,Brendan,517,TBD,576,12,59,4,0.286,0.777,0.353,1.2,135,133,-22,SS-2B-3B,0
Hart,Corey,519,MIL,566,24,81,23,0.295,0.892,0.396,4.7,128,122,7,OF,0
Hawpe,Brad,523,COL,606,29,116,0,0.291,0.926,0.394,1.5,142,137,-4,OF,0
Helton,Todd,529,COL,682,17,91,0,0.32,0.928,0.408,4.5,153,152,13,1B,0
Hill,Aaron,548,TOR,657,17,78,4,0.291,0.792,0.35,5.2,160,158,20,2B,0
Holliday,Matt,558,COL,713,36,137,11,0.34,1.012,0.433,6,157,157,18,OF,0
Howard,Ryan,563,PHI,648,47,136,1,0.268,0.976,0.401,2.9,140,138,-4,1B,0
Hudson,Orlando,568,ARI,601,10,63,10,0.294,0.817,0.365,4.3,137,137,0,2B,0
Hunter,Torii,573,MIN,650,28,107,18,0.287,0.839,0.361,3.9,155,155,-8,OF,0
Ibanez,Raul,575,SEA,636,21,105,0,0.291,0.831,0.369,1.7,131,131,-13,OF,0
Iguchi,Tadahito,577,TOT,533,9,43,14,0.267,0.747,0.338,1.3,121,118,-4,2B,0
Inge,Brandon,581,DET,577,14,71,9,0.236,0.688,0.312,2.2,150,146,16,3B,0
Iwamura,Akinori,584,TBD,559,7,34,12,0.285,0.77,0.343,2.2,121,121,0,3B-2B,0
Jeter,Derek,597,NYY,714,12,73,15,0.322,0.84,0.392,3.9,155,153,-13,SS,0
Johjima,Kenji,602,SEA,513,14,61,0,0.287,0.755,0.344,1.6,133,128,17,C,0
Johnson,Kelly,606,ATL,608,16,68,9,0.276,0.831,0.373,3.7,133,127,5,2B,0
Jones,Andruw,612,ATL,659,26,94,5,0.222,0.724,0.327,3,154,153,12,OF,0
Jones,Chipper,614,ATL,600,29,102,5,0.337,1.029,0.456,7.6,126,126,4,3B-SS,0
Kearns,Austin,626,WSN,674,16,74,2,0.266,0.765,0.348,2.6,159,157,13,OF,0
Kendall,Jason,630,TOT,514,3,41,3,0.242,0.61,0.289,1.3,132,130,-10,C-OF,0
Kent,Jeff,641,LAD,562,20,79,1,0.302,0.875,0.381,2.2,133,132,-4,2B,0
Kinsler,Ian,655,TEX,566,20,61,23,0.263,0.796,0.366,4.1,130,129,3,2B,0
Konerko,Paul,660,CHW,636,31,90,0,0.259,0.841,0.369,2,141,140,-3,1B,0
Kotchman,Casey,663,LAA,508,11,68,2,0.296,0.84,0.373,3.8,130,116,10,1B,0
Kouzmanoff,Kevin,665,SDP,534,18,74,1,0.275,0.786,0.341,1.7,136,128,-1,3B,0
LaRoche,Adam,684,PIT,632,21,88,1,0.272,0.803,0.351,1.5,151,148,4,1B,0
Lee,Carlos,695,HOU,697,32,119,10,0.303,0.882,0.374,2.3,157,157,-1,OF,0
Lee,Derrek,697,CHC,650,22,82,6,0.317,0.913,0.402,3.5,147,146,-1,1B,0
Lofton,Kenny,721,TOT,559,7,38,23,0.296,0.781,0.364,2.6,131,124,-3,OF,0
Lopez,Jose,733,SEA,561,11,62,2,0.252,0.639,0.291,0.4,153,146,-4,SS-2B,0
Lopez,Felipe,731,WSN,671,9,50,24,0.245,0.659,0.306,-0.5,148,141,7,2B-3B,0
Loretta,Mark,736,HOU,511,4,41,1,0.287,0.724,0.328,0.7,122,111,-1,SS-2B-1B-3B,0
Lowell,Mike,738,BOS,653,21,120,3,0.324,0.879,0.39,5,154,150,9,3B,0
Lugo,Julio,742,BOS,630,8,73,33,0.237,0.643,0.309,0.7,145,139,-1,SS,0
Markakis,Nick,762,BAL,710,23,112,18,0.3,0.848,0.378,4.2,161,158,5,OF,0
Martin,Russell,772,LAD,620,19,87,21,0.293,0.843,0.373,5.6,145,143,7,C,0
Martinez,Victor,777,CLE,645,25,114,0,0.301,0.879,0.381,4.3,143,142,8,C-1B,0
Matthews,Gary,784,LAA,579,18,72,18,0.252,0.742,0.339,1.1,135,133,-5,OF,0
McCann,Brian,792,ATL,552,18,92,0,0.27,0.772,0.333,1,132,130,-2,C,0
Molina,Bengie,840,SFG,517,19,81,0,0.276,0.731,0.321,1.1,129,125,-2,C,0
Mora,Melvin,855,BAL,527,14,58,9,0.274,0.759,0.34,2.1,120,120,4,3B,0
Morneau,Justin,861,MIN,668,31,111,1,0.271,0.834,0.361,2.9,143,143,2,1B,0
Ordonez,Magglio,915,DET,679,28,139,4,0.363,1.029,0.445,7.3,143,142,12,OF,0
Patterson,Corey,941,BAL,503,8,45,37,0.269,0.69,0.322,1.7,132,118,-2,OF,0
Pedroia,Dustin,951,BOS,581,8,50,7,0.317,0.823,0.375,3.9,137,132,7,2B,0
Pena,Carlos,955,TBD,612,46,121,1,0.282,1.037,0.437,7.2,144,137,-5,1B,0
Peralta,Jhonny,963,CLE,647,21,72,4,0.27,0.771,0.345,2.7,152,149,-5,SS,0
Phillips,Brandon,979,CIN,702,30,94,32,0.288,0.816,0.367,4,156,154,-5,2B-SS,0
Pierre,Juan,985,LAD,729,0,41,64,0.293,0.685,0.321,0.9,162,160,-12,OF,0
Pierzynski,A.J.,986,CHW,509,14,50,1,0.263,0.712,0.316,1.3,130,116,2,C,0
Polanco,Placido,993,DET,641,9,67,7,0.341,0.846,0.389,6.1,141,138,2,2B,0
Posada,Jorge,994,NYY,589,20,90,2,0.338,0.97,0.428,5.4,138,126,-8,C-1B,0
Pujols,Albert,1000,STL,679,32,103,2,0.327,0.997,0.428,8.7,154,153,26,1B,0
Punto,Nick,1001,MIN,536,1,25,16,0.21,0.562,0.268,0.5,150,135,4,3B-SS-2B,0
Ramirez,Aramis,1014,CHC,558,26,101,0,0.31,0.915,0.405,5.3,126,126,3,3B,0
Ramirez,Hanley,1018,FLA,706,29,81,51,0.332,0.948,0.418,4.4,151,150,-13,SS,0
Ramirez,Manny,1019,BOS,569,20,88,0,0.296,0.881,0.384,1.1,120,120,-11,OF,0
Renteria,Edgar,1038,ATL,543,12,57,11,0.332,0.86,0.391,4.1,121,121,-1,SS,0
Reyes,José,1044,NYM,765,12,57,78,0.28,0.775,0.357,5.1,160,160,16,SS,0
Rios,Alex,1052,TOR,711,24,85,17,0.297,0.852,0.376,5.6,161,157,9,OF,0
Roberts,Brian,1060,BAL,716,12,57,50,0.29,0.808,0.373,4.2,154,151,4,2B,0
Rodriguez,Alex,1065,NYY,708,54,156,24,0.314,1.067,0.457,9.4,154,154,-1,3B,1
Rodriguez,Ivan,1068,DET,515,11,63,2,0.281,0.714,0.32,1.4,127,119,1,C,0
Rollins,Jimmy,1074,PHI,778,30,94,41,0.296,0.875,0.392,6.1,162,162,9,SS,1
Rowand,Aaron,1082,PHI,684,27,89,6,0.309,0.889,0.393,5.1,161,155,-4,OF,0
Sanchez,Freddy,1100,PIT,653,11,81,0,0.304,0.784,0.351,2.7,146,146,-10,2B-SS,0
Sizemore,Grady,1142,CLE,748,24,78,33,0.277,0.852,0.384,5.5,160,157,11,OF,0
Soriano,Alfonso,1162,CHC,617,33,70,19,0.299,0.897,0.383,4.3,134,134,12,OF-2B,0
Stewart,Shannon,1184,OAK,630,12,48,11,0.29,0.739,0.338,1.4,142,131,-4,OF,0
Suzuki,Ichiro,1192,SEA,736,6,68,37,0.351,0.827,0.371,5.8,155,155,-3,OF,0
Swisher,Nick,1199,OAK,659,22,78,3,0.262,0.836,0.369,4.4,143,141,-4,OF-1B,0
Teahen,Mark,1206,KCR,608,7,60,13,0.285,0.763,0.342,2.3,141,139,-13,OF-1B,0
Teixeira,Mark,1207,TOT,575,30,105,0,0.306,0.963,0.411,4.6,128,128,2,1B,0
Tejada,Miguel,1210,BAL,569,18,81,2,0.296,0.799,0.357,2.3,124,122,-4,SS,0
Theriot,Ryan,1215,CHC,597,3,45,28,0.266,0.672,0.328,1.7,143,127,11,SS-2B-3B-OF,0
Tulowitzki,Troy,1242,COL,682,24,99,7,0.291,0.838,0.37,6.8,155,155,20,SS,0
Uggla,Dan,1245,FLA,728,31,88,2,0.245,0.805,0.353,1.8,158,156,-14,2B,0
Upton,B.J.,1246,TBD,548,24,82,22,0.3,0.894,0.398,4.4,124,122,1,OF-2B,0
Uribe,Juan,1249,CHW,563,20,68,1,0.234,0.678,0.303,0,150,147,-2,SS,0
Utley,Chase,1250,PHI,613,22,103,9,0.332,0.976,0.427,7.8,132,131,9,2B-1B,0
Varitek,Jason,1259,BOS,518,17,68,1,0.255,0.787,0.349,2.3,125,121,7,C,0
Vizquel,Omar,1271,SFG,575,4,51,14,0.246,0.621,0.28,0.7,143,136,20,SS,0
Wells,Vernon,1297,TOR,642,16,80,10,0.245,0.706,0.314,1.4,148,143,10,OF,0
Wigginton,Ty,1308,TOT,604,22,67,3,0.278,0.792,0.356,1.1,132,128,-12,3B-2B-1B-OF,0
Willingham,Josh,1316,FLA,604,21,89,8,0.265,0.827,0.371,1.7,137,137,-8,OF,0
Wilson,Jack,1322,PIT,535,12,56,2,0.296,0.791,0.337,3.6,131,131,0,SS,0
Winn,Randy,1327,SFG,653,14,65,15,0.3,0.798,0.36,2.7,150,143,-1,OF-3B,0
Wright,David,1339,NYM,711,30,107,34,0.325,0.963,0.428,8.3,159,159,4,3B,0
Youkilis,Kevin,1343,BOS,625,16,83,4,0.288,0.843,0.386,4.7,143,136,9,1B-3B,0
Young,Delmon,1347,TBD,681,13,93,10,0.288,0.723,0.327,0.9,160,155,0,OF,0
Young,Michael,1350,TEX,692,9,94,13,0.315,0.783,0.364,3.2,150,150,-8,SS,0
Zimmerman,Ryan,1355,WSN,722,24,91,4,0.266,0.788,0.348,4.7,161,161,8,3B,0
