Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1120,Jonathan Sánchez*,SFG,NL,54,0,0,0,0.073,0.247,143,139,-13,3B-OF-1B-2B,,0
1121,Freddy Sandoval#,LAA,AL,11,0,0,0,0.182,0.455,152,150,5,1B,,0
1122,Pablo Sandoval#,SFG,NL,633,25,90,5,0.33,0.943,158,157,-19,SS,,1.5
1123,Johan Santana*,NYM,NL,57,0,4,0,0.167,0.493,35,6,,P,,-0.1
1124,Ramon Santiago#,DET,AL,296,7,35,1,0.267,0.704,22,17,-1,OF-1B,,0
1125,Omir Santos,NYM,NL,306,7,40,0,0.26,0.688,52,0,,P,,-0.1
1126,Dane Sardinha,DET,AL,34,0,3,0,0.097,0.22,11,0,,P,,-0.1
1127,Michael Saunders*,SEA,AL,129,0,4,4,0.221,0.537,151,147,4,SS,,
1128,Bobby Scales#,CHC,NL,138,3,15,0,0.242,0.723,16,15,0,C,,0.3
1129,Jordan Schafer*,ATL,NL,195,2,8,2,0.204,0.6,100,66,0,OF,,-0.2
1130,Max Scherzer,ARI,NL,61,0,3,0,0.226,0.532,32,8,,P,,5.3
1131,Nate Schierholtz*,SFG,NL,308,5,29,3,0.267,0.702,13,0,,P,,1.9
1132,Daniel Schlereth*,ARI,NL,0,0,0,0,,,70,0,,P,,
1133,Travis Schlichting,LAD,NL,0,0,0,0,,,97,64,-2,3B-2B-OF,,0.1
1134,Jason Schmidt,LAD,NL,7,0,0,0,0.167,0.333,12,12,,P,,0
1135,Brian Schneider*,NYM,NL,194,3,24,0,0.218,0.627,20,0,,P,,0
1136,Scott Schoeneweis*,ARI,NL,0,0,0,0,,,64,51,2,2B-3B-SS-1B,,1.1
1137,Skip Schumaker*,STL,NL,586,4,35,2,0.303,0.757,21,6,,P,,0.1
1138,Luke Scott*,BAL,AL,506,25,77,0,0.258,0.828,19,17,0,C,,0.8
1139,Marco Scutaro,TOR,AL,680,12,60,14,0.282,0.789,64,61,-3,C,,1.4
1140,Bobby Seay*,DET,AL,0,0,0,0,,,69,33,8,OF,,-0.1
1141,Zack Segovia,WSN,NL,0,0,0,0,,,8,5,,P,,
1142,Gary Sheffield,NYM,NL,312,10,43,2,0.276,0.823,2,0,,P,,0
1143,Steven Shell,WSN,NL,0,0,0,0,,,15,14,0,C,,-0.1
1144,Chris Shelton,SEA,AL,28,0,4,0,0.231,0.593,1,0,,P,,
1145,George Sherrill*,TOT,MLB,0,0,0,0,,,1,1,0,1B,,0
1146,George Sherrill*,BAL,AL,0,0,0,0,,,71,61,-3,1B-3B,,0.5
1147,George Sherrill*,LAD,NL,0,0,0,0,,,4,4,-1,C,,0
1148,James Shields,TBR,AL,5,0,0,0,0,0.2,73,0,,P,,-0.3
1149,Scot Shields,LAA,AL,0,0,0,0,,,6,6,1,2B,,0.4
1150,Kelly Shoppach,CLE,AL,327,12,40,0,0.214,0.734,151,148,13,SS,,1.8
1151,Brian Shouse*,TBR,AL,0,0,0,0,,,9,3,0,3B-2B,,-0.1
1152,Walter Silva,SDP,NL,8,0,0,0,0.375,0.75,12,12,,P,,
1153,Tony Sipp*,CLE,AL,0,0,0,0,,,158,157,-10,2B,,-0.1
1154,Grady Sizemore*,CLE,AL,503,18,64,13,0.248,0.788,144,141,13,OF,,
1155,Doug Slaten*,ARI,NL,0,0,0,0,,,136,134,12,OF,,0.2
1156,Kevin Slowey,MIN,AL,4,0,0,0,0,0,114,103,10,3B-SS-2B,,-0.8
1157,Chris Smith,MIL,NL,3,0,0,0,0,0.333,155,154,10,2B,,-0.5
1158,Jason Smith*,HOU,NL,27,0,1,0,0,0,101,97,-9,2B-SS-3B,,-0.1
1159,Joe Smith,CLE,AL,0,0,0,0,,,48,0,,P,,0.2
1160,Seth Smith*,COL,NL,387,15,55,4,0.293,0.889,35,23,4,SS-OF-2B-3B,,6.5
1161,John Smoltz,TOT,MLB,16,0,0,0,0.067,0.192,52,0,,P,,0.2
1162,John Smoltz,BOS,AL,2,0,0,0,0,0,11,11,,P,,0
1163,John Smoltz,STL,NL,14,0,0,0,0.077,0.22,6,2,1,OF-P,,2.1
1164,Ian Snell,TOT,MLB,27,0,1,0,0.174,0.348,36,0,,P,,1.1
1165,Ian Snell,PIT,NL,27,0,1,0,0.174,0.348,23,14,,P,,4
1166,Travis Snider*,TOR,AL,276,9,29,1,0.241,0.748,108,106,-8,C,,3.5
1167,Chris Snyder,ARI,NL,202,6,22,0,0.2,0.685,53,0,,P,,8.2
