Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1,David Aardsma,SEA,AL,0,0,0,0,,,73,0,,P,0.373,0
2,Bobby Abreu*,LAA,AL,667,15,103,30,0.293,0.825,136,136,-7,OF,0.305,3.2
3,Tony Abreu#,LAD,NL,11,0,1,0,0.25,0.705,2,2,1,3B-2B,0,0.2
4,Winston Abreu,TOT,AL,0,0,0,0,,,5,0,,P,0.355,0
5,Winston Abreu,TBR,AL,0,0,0,0,,,26,0,,P,0.203,0
6,Jeremy Accardo,TOR,AL,0,0,0,0,,,43,1,,P,0.408,0
7,Alfredo Aceves,NYY,AL,2,0,0,0,0,0,36,0,,P,0,0
8,Manny Acosta,ATL,NL,2,0,0,0,0,0.5,37,0,,P,0.202,0
9,Mike Adams,SDP,NL,0,0,0,0,,,5,3,-1,OF,0.291,-0.1
10,Russ Adams*,TOR,AL,21,0,0,0,0.2,0.438,1,1,,P,0.223,
11,Jeremy Affeldt*,SFG,NL,2,0,0,0,0.5,1,74,0,,P,0,0
12,Jonathan Albaladejo,NYY,AL,0,0,0,0,,,32,0,,P,0.294,0
13,Matt Albers*,BAL,AL,1,0,0,0,0,0,56,0,,P,0.281,0
14,Eliezer Alfonzo,SDP,NL,117,2,8,0,0.175,0.451,30,28,2,C,0.42,-0.2
15,Brandon Allen*,ARI,NL,116,4,14,0,0.202,0.669,32,29,-3,1B,0.312,-0.9
16,Alfredo Amezaga#,FLA,NL,75,0,5,1,0.217,0.528,21,13,3,OF-SS,0.283,-0.3
17,Brett Anderson*,OAK,AL,3,0,0,0,0,0,30,30,,P,0.296,-0.1
18,Brian Anderson,TOT,AL,231,4,18,3,0.243,0.674,83,55,-1,OF,0.263,-0.6
19,Brian Anderson,CHW,AL,210,2,13,3,0.238,0.641,124,123,1,OF,0,-1.4
20,Brian Anderson,BOS,AL,21,2,5,0,0.294,1.028,107,70,0,OF,0.278,-0.9
21,Garret Anderson*,ATL,NL,534,13,61,1,0.268,0.705,74,58,0,SS-2B-3B-OF,0.329,
22,Josh Anderson*,TOT,AL,298,1,24,25,0.24,0.58,145,140,8,SS,0.298,0
23,Josh Anderson*,DET,AL,175,0,16,13,0.242,0.597,101,90,6,OF,0.355,3.6
24,Josh Anderson*,KCR,AL,123,1,8,12,0.237,0.556,10,0,,P,0,0.4
25,Marlon Anderson*,NYM,NL,4,0,0,0,0,0,42,0,,P,0.12,0
26,Robert Andino,BAL,AL,215,2,10,3,0.222,0.562,3,2,-2,2B-3B,0,0
27,Elvis Andrus,TEX,AL,541,6,40,33,0.267,0.702,43,0,,P,0,-0.4
28,Rick Ankiel*,STL,NL,404,11,38,4,0.231,0.672,33,33,,P,0.304,0
29,Greg Aquino,CLE,AL,0,0,0,0,,,16,0,,P,0.365,-0.5
30,Alberto Arias,HOU,NL,2,0,0,0,0,0.5,3,0,,P,0.177,0
31,Joaquin Arias,TEX,AL,9,0,0,0,0,0,95,86,4,3B-1B,0.236,0
32,Jose Arredondo,LAA,AL,0,0,0,0,,,2,0,,P,0.326,-1.2
33,Bronson Arroyo,CIN,NL,76,0,0,0,0.113,0.274,25,21,0,1B,0.405,0
34,Jose Ascanio,TOT,NL,2,0,0,0,0,0,7,2,,P,0.22,0.4
35,Jose Ascanio,CHC,NL,2,0,0,0,0,0,35,22,4,1B-3B,,0
36,Jose Ascanio,PIT,NL,0,0,0,0,,,30,27,1,C,,-1.1
37,Jairo Asencio,ATL,NL,0,0,0,0,,,25,17,0,C,0.343,0.4
38,Garrett Atkins,COL,NL,399,9,48,0,0.226,0.65,35,34,2,SS-3B,0.335,0.6
39,Mitch Atkins,CHC,NL,0,0,0,0,,,7,0,,P,0.355,-0.7
40,Michael Aubrey*,BAL,AL,95,4,14,0,0.289,0.826,38,0,,P,0,0
41,Bryan Augenstein,ARI,NL,4,0,0,0,0,0.25,136,135,6,SS,0.816,0
42,Rich Aurilia,SFG,NL,133,2,16,0,0.213,0.534,70,53,-4,1B-2B-3B,0.07,3.4
43,Brad Ausmus,LAD,NL,107,1,9,1,0.295,0.712,5,1,,P,0.339,-0.2
44,Alex Avila*,DET,AL,72,5,14,0,0.279,0.965,35,2,,P,0.351,0
45,Mike Aviles,KCR,AL,127,1,8,1,0.183,0.458,59,0,,P,0.178,-0.2
46,John Axford,MIL,NL,0,0,0,0,,,68,0,,P,0.37,0.1
47,Luis Ayala,TOT,MLB,1,0,0,0,,,20,20,,P,0.341,0
48,Luis Ayala,MIN,AL,1,0,0,0,,,26,21,2,1B-OF,0,-0.5
49,Luis Ayala,FLA,NL,0,0,0,0,,,69,55,6,2B-3B-1B,0.299,0.1
50,Erick Aybar#,LAA,AL,556,5,58,14,0.312,0.776,105,99,-7,C,0.353,1.1
51,Willy Aybar#,TBR,AL,336,12,41,1,0.253,0.747,33,33,,P,0.311,0.6
52,Brandon Backe,HOU,NL,2,0,0,0,0,0.5,42,33,-1,C,0.279,-0.1
53,Burke Badenhop,FLA,NL,13,0,1,0,0,0,45,34,-6,OF-3B,0.354,0
54,Danys Báez,BAL,AL,1,0,0,0,1,2,42,0,,P,0.18,0.6
55,Andrew Bailey,OAK,AL,0,0,0,0,,,83,65,6,OF,0.237,0
56,Homer Bailey,CIN,NL,43,0,2,0,0.079,0.158,7,7,,P,0.182,1
57,Jeff Bailey,BOS,AL,91,3,9,0,0.208,0.745,73,0,,P,0.292,0
58,Jeff Baker,TOT,NL,248,4,24,1,0.288,0.768,6,3,,P,0.29,0
59,Jeff Baker,COL,NL,24,0,3,1,0.13,0.384,26,26,,P,0.311,0.1
60,Jeff Baker,CHC,NL,224,4,21,0,0.305,0.81,120,110,4,C,0.341,0
61,John Baker*,FLA,NL,423,9,50,0,0.271,0.759,49,0,,P,0.303,0.9
62,Scott Baker,MIN,AL,6,0,0,0,0,0,79,71,-4,C,0.323,0
63,Paul Bako*,PHI,NL,130,3,9,0,0.224,0.644,48,24,2,3B-SS-2B,0.211,-1.2
64,Rocco Baldelli,BOS,AL,164,7,23,1,0.253,0.744,9,3,-2,2B-OF,0.396,0.1
65,John Bale*,KCR,AL,0,0,0,0,,,6,1,0,1B,0.345,0.1
66,Wladimir Balentien,TOT,MLB,295,7,24,2,0.234,0.69,152,142,13,2B-SS,0,-0.1
67,Wladimir Balentien,SEA,AL,170,4,13,1,0.213,0.625,7,4,-1,C,0,2.2
68,Wladimir Balentien,CIN,NL,125,3,11,1,0.264,0.779,134,133,-3,SS,0.418,0
69,Collin Balester,WSN,NL,11,0,0,0,0.125,0.347,1,0,0,OF,0,6.2
70,Grant Balfour,TBR,AL,0,0,0,0,,,51,46,-1,1B,0.351,0
71,Josh Banks,SDP,NL,6,0,0,0,0,0.333,48,0,,P,0.406,0.9
72,Brian Bannister,KCR,AL,5,0,1,0,0.2,0.4,6,5,,P,0.092,0
73,Rod Barajas,TOR,AL,460,19,71,1,0.226,0.661,5,3,-1,1B,0.395,-0.1
74,Daniel Bard,BOS,AL,0,0,0,0,,,56,0,,P,0.356,0
75,Josh Bard#,WSN,NL,301,6,31,0,0.23,0.655,14,0,,P,0,0
76,Brian Barden,STL,NL,114,4,10,0,0.233,0.664,102,92,5,OF-3B,0,0
77,Josh Barfield,CLE,AL,20,0,2,0,0.4,0.85,150,150,3,OF,,2.9
78,Kevin Barker*,CIN,NL,36,0,3,0,0.281,0.708,10,6,,P,0.351,5.2
79,Clint Barmes,COL,NL,604,23,76,12,0.245,0.734,32,32,,P,0.308,0
80,Michael Barrett,TOR,AL,19,1,2,0,0.167,0.544,102,102,-7,3B,0.454,0.1
81,Jason Bartlett,TBR,AL,567,14,66,30,0.32,0.879,15,15,,P,0.216,2.1
82,Brian Barton,ATL,NL,0,0,0,0,,,71,0,,P,0.418,
83,Daric Barton*,OAK,AL,192,3,24,0,0.269,0.784,69,0,,P,0.318,0
84,Brian Bass,BAL,AL,1,0,0,0,0,0,24,0,,P,0.459,-0.1
85,Antonio Bastardo,PHI,NL,7,0,0,0,0,0,68,0,,P,0.459,-0.1
86,Aaron Bates,BOS,AL,12,0,2,0,0.364,0.962,8,4,,P,0.364,0
87,Miguel Batista,SEA,AL,1,0,0,0,0,0,78,58,-3,2B-3B-1B,0,
88,Denny Bautista,PIT,NL,0,0,0,0,,,2,2,0,C,0,1.2
89,José Bautista,TOR,AL,404,13,40,4,0.235,0.757,77,77,15,OF,0.395,-0.1
90,Jason Bay,BOS,AL,638,36,119,13,0.267,0.921,111,110,5,3B,0.444,3.6
91,Yorman Bazardo,HOU,NL,10,0,0,0,0,0,44,0,,P,0.174,3.3
92,Josh Beckett,BOS,AL,5,1,1,0,0.2,1,8,2,,P,0.161,0.1
93,Gordon Beckham,CHW,AL,430,14,63,7,0.27,0.808,11,0,,P,0.184,
94,Joe Beimel*,TOT,NL,0,0,0,0,,,19,19,,P,0.281,0
95,Joe Beimel*,WSN,NL,0,0,0,0,,,56,0,,P,0.285,0.1
96,Joe Beimel*,COL,NL,0,0,0,0,,,24,24,,P,0.277,0
97,Ronald Belisario,LAD,NL,4,0,0,0,0,0,131,131,6,1B,0.268,0
98,Matt Belisle,COL,NL,4,0,0,0,0,0,3,1,0,OF,0.23,3.5
99,Heath Bell,SDP,NL,1,0,0,0,,,24,12,0,3B-SS,0.267,0.1
100,Ronnie Belliard,TOT,NL,287,10,39,3,0.277,0.776,60,0,,P,0,-1
101,Ronnie Belliard,WSN,NL,204,5,22,2,0.246,0.67,133,131,-12,SS,0.369,0
102,Ronnie Belliard,LAD,NL,83,5,17,1,0.351,1.034,12,9,-3,1B-3B,0.323,-2
103,Edwin Bellorin,COL,NL,9,0,0,0,0.25,0.583,33,32,,P,0.273,-0.6
104,Carlos Beltrán#,NYM,NL,357,10,48,11,0.325,0.915,15,13,-2,SS-2B-OF,0.276,0.2
105,Adrián Beltré,SEA,AL,477,8,44,13,0.265,0.683,33,33,,P,0.315,-0.3
106,Jeff Bennett,TOT,MLB,2,0,0,0,0,0,134,131,17,3B-OF-1B,0.376,-0.1
107,Jeff Bennett,ATL,NL,2,0,0,0,0,0,67,67,-2,1B-3B,0.165,4.6
108,Jeff Bennett,TBR,AL,0,0,0,0,,,51,30,2,2B-SS,0.309,0.1
109,Justin Berg,CHC,NL,0,0,0,0,,,14,8,-2,OF,0.304,0
110,Brad Bergesen*,BAL,AL,7,0,0,0,0.2,0.4,61,58,5,C-3B,0.109,-0.1
111,Jason Bergmann,WSN,NL,3,0,0,0,0,0,44,38,0,OF-1B,0.09,0.3
112,Jason Berken,BAL,AL,1,0,0,0,0,0,31,31,,P,0.29,0.9
113,Lance Berkman#,HOU,NL,563,25,80,7,0.274,0.907,20,0,,P,0.053,-0.1
114,Roger Bernadina*,WSN,NL,5,0,0,1,0.25,0.9,122,105,-6,OF-SS-2B-3B-1B,0,
115,Angel Berroa,TOT,MLB,55,0,3,0,0.143,0.391,111,101,-6,3B-1B-SS,0.38,-0.5
116,Angel Berroa,NYY,AL,24,0,1,0,0.136,0.356,6,4,-2,OF,0.278,-0.3
117,Angel Berroa,NYM,NL,31,0,2,0,0.148,0.419,16,9,,P,0.352,-0.3
118,Rafael Betancourt,TOT,MLB,0,0,0,0,,,8,1,,P,0.274,-0.1
119,Rafael Betancourt,CLE,AL,0,0,0,0,,,116,106,1,3B-SS-OF-2B,0,
120,Rafael Betancourt,COL,NL,0,0,0,0,,,10,4,,P,0,-0.7
121,Yuniesky Betancourt,TOT,AL,508,6,49,3,0.245,0.625,3,2,1,1B-3B,0,
122,Yuniesky Betancourt,SEA,AL,245,2,22,3,0.25,0.609,13,0,,P,0,-0.3
123,Yuniesky Betancourt,KCR,AL,263,4,27,0,0.24,0.639,20,17,1,OF,0.353,0
124,Wilson Betemit#,CHW,AL,50,0,3,0,0.2,0.591,7,6,1,OF,0.311,0.8
125,Chad Billingsley,LAD,NL,67,1,4,0,0.179,0.501,154,150,-8,OF,0.367,0.2
126,Brian Bixler,PIT,NL,46,0,3,1,0.227,0.602,8,1,,P,0.418,5
127,Nick Blackburn,MIN,AL,4,0,0,0,0,0,20,17,2,OF-1B,0.314,
128,Casey Blake,LAD,NL,565,18,79,3,0.28,0.832,48,0,,P,0.672,-0.2
129,Hank Blalock*,TEX,AL,495,25,66,2,0.234,0.736,22,22,,P,0.254,-0.1
130,Andrés Blanco#,CHC,NL,138,1,12,0,0.252,0.644,20,0,,P,0,-0.1
131,Grégor Blanco*,ATL,NL,48,0,1,2,0.186,0.488,109,107,-5,OF,0.339,
132,Henry Blanco,SDP,NL,232,6,16,0,0.235,0.703,28,26,-4,OF,0.222,0.3
133,Kyle Blanks,SDP,NL,172,10,22,1,0.25,0.868,116,116,-1,1B,0.334,0
134,Joe Blanton,PHI,NL,69,0,1,0,0.127,0.327,158,156,-10,OF,0.283,2.6
135,Willie Bloomquist,KCR,AL,468,4,29,25,0.265,0.663,77,0,,P,0.246,6.2
136,Geoff Blum#,HOU,NL,427,10,49,0,0.247,0.681,31,24,0,SS-2B,0,0
137,Brandon Boggs#,TEX,AL,18,0,0,0,0.059,0.229,16,0,,P,0.494,0.2
138,Mitchell Boggs,STL,NL,17,0,0,0,0.071,0.214,20,0,,P,0,0
139,Emilio Bonifácio#,FLA,NL,509,1,27,21,0.252,0.611,7,0,0,C-P,0.264,0
140,Aaron Boone,HOU,NL,14,0,0,0,0,0.071,1,1,0,OF,0.174,0.1
141,Chris Bootcheck,PIT,NL,2,0,0,0,0,0,73,0,,P,0.185,-0.2
142,Julio Borbon*,TEX,AL,179,4,20,19,0.312,0.79,98,89,7,OF,0.135,0
143,Jason Bourgeois,MIL,NL,40,1,3,3,0.189,0.52,44,0,,P,0.163,1.3
144,Michael Bourn*,HOU,NL,678,3,35,61,0.285,0.738,39,18,-7,SS-2B-OF-3B-1B,0,0
145,John Bowker*,SFG,NL,73,2,7,1,0.194,0.62,16,16,,P,0,-1.2
146,Blaine Boyer,TOT,NL,4,0,0,0,0,0,46,41,-5,C,0,0
147,Blaine Boyer,ATL,NL,0,0,0,0,,,32,27,-1,OF,0.156,0.5
148,Blaine Boyer,STL,NL,1,0,0,0,0,0,16,13,,P,0.306,0.1
149,Blaine Boyer,ARI,NL,3,0,0,0,0,0,2,0,0,C,0.266,0.1
150,Dallas Braden*,OAK,AL,4,0,0,0,0,0,33,33,,P,0,-0.1
151,Milton Bradley#,CHC,NL,473,12,40,2,0.257,0.775,64,0,,P,0.321,0.1
152,Michael Brantley*,CLE,AL,121,0,11,4,0.313,0.707,4,0,,P,0.171,0
153,Russell Branyan*,SEA,AL,505,31,76,2,0.251,0.867,4,1,,P,0.376,
154,Ryan Braun,MIL,NL,708,32,114,20,0.32,0.937,25,21,-5,SS-3B-2B,0.358,0
155,Craig Breslow*,TOT,AL,0,0,0,0,,,48,0,,P,0,-0.4
156,Craig Breslow*,OAK,AL,0,0,0,0,,,19,15,0,C-1B,0.302,0
157,Reid Brignac#,TBR,AL,93,1,6,2,0.278,0.746,33,33,,P,0.371,-0.4
158,Lance Broadway,TOT,MLB,0,0,0,0,,,71,0,,P,0.144,0
159,Lance Broadway,NYM,NL,0,0,0,0,,,15,8,,P,0.154,0
160,Doug Brocail*,HOU,NL,0,0,0,0,,,2,1,0,OF,0,0
161,Dusty Brown,BOS,AL,4,1,1,0,0.333,1.833,2,2,,P,0.336,-0.8
162,Emil Brown,NYM,NL,6,0,0,0,0.2,0.533,61,57,-4,2B,0.339,
163,Jonathan Broxton,LAD,NL,1,0,0,0,0,0,53,0,,P,0.412,-1.2
164,Jay Bruce*,CIN,NL,387,22,58,3,0.223,0.773,38,28,1,3B-1B,0.319,0
165,Brian Bruney,NYY,AL,0,0,0,0,,,22,21,,P,0.311,0.2
166,Eric Bruntlett,PHI,NL,118,0,7,2,0.171,0.462,145,143,-11,1B,0.331,0
167,Clay Buchholz*,BOS,AL,0,0,0,0,,,3,0,,P,0.408,2.3
168,John Buck,KCR,AL,202,8,36,1,0.247,0.782,143,141,12,OF,0.206,0
169,Travis Buck*,OAK,AL,115,3,10,1,0.219,0.62,7,6,,P,0.349,2.2
170,Billy Buckner,ARI,NL,23,0,6,0,0.238,0.571,76,0,,P,0.36,
171,Ryan Budde,LAA,AL,3,0,0,0,0,0,58,54,5,OF,0.353,-0.1
172,Mark Buehrle*,CHW,AL,5,1,1,0,0.25,1.25,127,127,-4,SS-2B,0,0
173,Jason Bulger,LAA,AL,0,0,0,0,,,15,9,,P,0.191,4.2
174,Madison Bumgarner,SFG,NL,2,0,0,0,0,0,102,101,-11,SS,0.378,0
175,Chris Burke,SDP,NL,89,1,5,4,0.207,0.575,6,0,,P,0.361,1.4
176,Greg Burke,SDP,NL,0,0,0,0,,,151,130,2,OF,0,
177,Jamie Burke,TOT,MLB,56,1,2,0,0.118,0.34,153,153,-1,1B,0.227,1.2
178,Jamie Burke,SEA,AL,43,1,1,0,0.122,0.358,158,157,-24,SS,0,5.1
179,Jamie Burke,WSN,NL,13,0,1,0,0.1,0.267,32,32,,P,0.386,-0.6
180,A.J. Burnett,NYY,AL,5,0,0,0,0.2,0.4,33,33,,P,0.215,0
181,Sean Burnett*,TOT,NL,2,0,0,0,0,0,9,5,0,2B-SS-3B,0,0.2
182,Sean Burnett*,PIT,NL,1,0,0,0,0,0,67,0,,P,0,0.3
183,Sean Burnett*,WSN,NL,1,0,0,0,0,0,155,153,-13,2B-3B-SS,0.31,0
184,Mike Burns,MIL,NL,18,0,2,0,0.077,0.277,11,0,,P,0.326,2.5
185,Pat Burrell,TBR,AL,476,14,64,2,0.221,0.682,147,146,4,OF,0.292,
186,Emmanuel Burriss#,SFG,NL,220,0,13,11,0.238,0.56,59,0,,P,0,3
187,Jared Burton,CIN,NL,1,0,0,0,0,0,5,0,,P,0.239,0
188,Brian Buscher*,MIN,AL,164,2,12,0,0.235,0.676,5,5,-1,1B,0.27,0
189,Dave Bush,MIL,NL,40,0,0,0,0.118,0.328,161,158,6,2B,0.344,
190,Billy Butler,KCR,AL,672,21,93,1,0.301,0.853,138,137,-3,1B-3B,0.61,-0.4
191,Josh Butler,MIL,NL,0,0,0,0,,,57,0,,P,0.292,4.5
192,Marlon Byrd,TEX,AL,599,20,89,8,0.283,0.808,14,0,,P,0.311,0.8
193,Tim Byrdak*,HOU,NL,3,0,0,0,0,0,4,4,-1,C,0.329,0
194,Eric Byrnes,ARI,NL,258,8,31,9,0.226,0.663,73,0,,P,0.293,0
195,Asdrúbal Cabrera#,CLE,AL,581,6,68,17,0.308,0.799,16,0,,P,0.323,-0.2
196,Daniel Cabrera,TOT,NL,17,0,0,0,0,0.2,16,15,2,1B,0,0
197,Daniel Cabrera,WSN,NL,16,0,0,0,0,0.214,28,28,,P,0.267,0
198,Daniel Cabrera,ARI,NL,1,0,0,0,0,0,3,1,,P,0.224,0.7
199,Everth Cabrera#,SDP,NL,438,2,31,25,0.255,0.703,5,5,,P,0.319,0.3
200,Melky Cabrera#,NYY,AL,540,13,68,10,0.274,0.752,49,1,,P,0.3,0
201,Miguel Cabrera,DET,AL,685,34,103,6,0.324,0.942,3,3,,P,0,
202,Orlando Cabrera,TOT,AL,708,9,77,13,0.284,0.705,75,32,17,OF,0.306,0
203,Orlando Cabrera,OAK,AL,448,4,41,11,0.28,0.683,85,77,5,2B-3B-OF,0.119,0
204,Orlando Cabrera,MIN,AL,260,5,36,2,0.289,0.742,9,6,0,OF,0,0.8
205,Trevor Cahill,OAK,AL,2,0,0,0,0.5,1,1,0,0,OF,0.282,2.1
206,Matt Cain,SFG,NL,73,0,3,0,0.15,0.42,10,7,-1,C,0.811,-0.1
207,Miguel Cairo,PHI,NL,47,1,2,0,0.267,0.705,73,64,-8,2B-SS,0.394,-0.2
208,Kiko Calero,FLA,NL,0,0,0,0,,,46,0,,P,0.334,-0.2
209,Alberto Callaspo#,KCR,AL,634,11,73,2,0.3,0.813,20,0,,P,0.328,-1.5
210,Mike Cameron,MIL,NL,628,24,70,7,0.25,0.795,137,135,-6,2B,0.345,0
211,Shawn Camp,TOR,AL,0,0,0,0,,,53,29,-3,SS-2B-3B-OF,0.116,
212,Jorge Campillo,ATL,NL,0,0,0,0,,,52,46,3,C,0.314,1.4
213,Robinson Cancel,NYM,NL,1,0,0,0,0,0,39,32,1,OF-2B,0,
214,Bárbaro Cañizares,ATL,NL,21,0,0,0,0.19,0.429,18,17,,P,0,0.3
215,Robinson Canó*,NYY,AL,674,25,85,5,0.32,0.871,100,95,-4,SS-2B-OF-3B,0.38,-0.1
216,Jorge Cantu,FLA,NL,643,16,100,3,0.289,0.788,40,25,3,C,0,0.3
217,Matt Capps,PIT,NL,0,0,0,0,,,9,1,,P,0.208,0
218,Esmailin Caridad,CHC,NL,2,0,0,0,0,0,32,31,,P,0.281,-1.1
219,Luke Carlin#,ARI,NL,21,0,1,0,0.167,0.452,48,44,1,OF,0,0.6
220,Jesse Carlson*,TOR,AL,0,0,0,0,,,8,8,0,3B,0,0
221,Buddy Carlyle*,ATL,NL,2,0,0,0,0,0,73,0,,P,0,-0.1
222,Mike Carp*,SEA,AL,65,1,5,0,0.315,0.878,51,44,5,C,0.251,0.2
223,Chris Carpenter,STL,NL,69,1,7,0,0.175,0.482,17,9,,P,0.298,-0.5
224,Drew Carpenter,PHI,NL,3,0,0,0,0,0,61,0,,P,0.915,0
225,D.J. Carrasco,CHW,AL,0,0,0,0,,,143,142,0,OF,0.183,1
226,Cesar Carrillo,SDP,NL,3,0,0,0,0,0,8,0,,P,0.284,0.1
227,Brett Carroll,FLA,NL,158,3,18,0,0.234,0.689,105,92,-3,OF,0.332,0
228,Jamey Carroll,CLE,AL,358,2,26,4,0.276,0.695,3,2,-1,SS-2B,0.235,5.5
229,Matt Carson,OAK,AL,22,1,5,0,0.286,0.701,3,0,,P,0.343,
230,Chris Carter*,BOS,AL,6,0,1,0,0,0,21,14,3,1B,0.37,1.8
231,Kevin Cash,NYY,AL,28,0,3,0,0.231,0.558,41,0,,P,0.321,-0.6
232,Alexi Casilla#,MIN,AL,256,0,17,11,0.202,0.538,78,0,,P,0.33,0
233,Santiago Casilla,OAK,AL,0,0,0,0,,,124,121,-7,OF-2B,0.294,-0.4
234,Luis Castillo#,NYM,NL,580,1,40,20,0.302,0.732,72,0,,P,0.294,-0.1
235,Wilkin Castillo#,CIN,NL,3,0,1,0,0.667,1.333,20,0,,P,0.247,-0.1
236,Juan Castro,LAD,NL,121,1,9,0,0.277,0.65,12,12,,P,0.37,1.1
237,Ramon Castro,TOT,MLB,171,7,25,0,0.219,0.699,43,0,,P,0.376,0
238,Ramon Castro,NYM,NL,87,3,13,0,0.253,0.752,6,5,0,OF,0.187,0
239,Ramon Castro,CHW,AL,84,4,12,0,0.184,0.643,45,0,,P,0.241,
240,Frank Catalanotto*,MIL,NL,162,1,9,2,0.278,0.728,12,9,-1,2B-3B,0.346,0
241,Brett Cecil,TOR,AL,2,0,0,0,0,0,28,23,,P,0.384,0.3
242,Ronny Cedeno,TOT,MLB,376,10,38,5,0.208,0.593,27,27,,P,0,0
243,Ronny Cedeno,SEA,AL,206,5,17,3,0.167,0.504,73,67,-2,SS-2B-1B,0.915,-0.2
244,Ronny Cedeno,PIT,NL,170,5,21,2,0.258,0.701,16,0,,P,0,-0.2
245,Francisco Cervelli,NYY,AL,101,1,11,0,0.298,0.682,68,0,,P,0.313,0.3
246,Jhoulys Chacín,COL,NL,0,0,0,0,,,53,0,,P,0.173,0.6
247,Joba Chamberlain,NYY,AL,3,0,0,0,0,0,35,0,,P,0.358,0
248,Endy Chavez*,SEA,AL,182,2,13,9,0.273,0.669,1,0,0,C,0.361,0
249,Eric Chavez*,OAK,AL,31,0,1,0,0.1,0.262,33,33,,P,0.133,0
250,Jesse Chavez,PIT,NL,1,0,0,0,0,0,69,50,2,C-1B,0.34,0
251,Raul Chavez,TOR,AL,168,2,15,1,0.258,0.631,19,0,,P,0.407,0
252,Bruce Chen*,KCR,AL,2,0,0,0,1,2,109,90,9,2B-3B-SS,0.236,0
253,Randy Choate*,TBR,AL,0,0,0,0,,,56,0,,P,0.298,-0.8
254,Shin-Soo Choo*,CLE,AL,685,20,86,21,0.3,0.883,154,149,16,OF,0.142,0
255,Ryan Church*,TOT,NL,399,4,40,6,0.273,0.722,84,84,7,3B,0.154,2.5
256,Ryan Church*,NYM,NL,255,2,22,6,0.28,0.707,49,49,1,OF,0.456,0
257,Ryan Church*,ATL,NL,144,2,18,0,0.26,0.749,90,63,-5,3B-1B-2B-SS-OF,0.334,5
258,Alex Cintron#,WSN,NL,28,0,0,0,0.077,0.22,65,50,-3,OF,0.348,2.3
259,Anthony Claggett#,TOT,MLB,0,0,0,0,,,46,0,,P,0.318,1.4
260,Anthony Claggett#,PIT,NL,0,0,0,0,,,22,18,0,SS-2B,0.372,-1.1
261,Tony Clark#,ARI,NL,78,4,11,0,0.182,0.719,122,119,22,OF,0.043,-0.4
262,Tyler Clippard,WSN,NL,7,0,0,0,0,0,149,148,-11,OF-1B-2B,0.304,0
263,Todd Coffey,MIL,NL,6,0,0,0,0,0,30,30,,P,0.397,-0.2
264,Chris Coghlan*,FLA,NL,565,9,47,8,0.321,0.85,23,14,-2,OF,0.318,2.3
265,Phil Coke*,NYY,AL,1,0,0,0,0,0,51,50,-10,OF,0.347,2.8
266,Jesus Colome,TOT,NL,0,0,0,0,,,57,0,,P,0,0
267,Jesus Colome,WSN,NL,0,0,0,0,,,132,128,11,OF,0,-0.5
268,Jesus Colome,MIL,NL,0,0,0,0,,,32,32,,P,0.368,1
269,Roman Colon,KCR,AL,0,0,0,0,,,4,0,,P,0,0
270,Tyler Colvin*,CHC,NL,20,0,2,0,0.176,0.426,1,0,,P,0.306,4.2
271,Clay Condrey,PHI,NL,0,0,0,0,,,22,22,,P,0.32,0
272,Brooks Conrad#,ATL,NL,58,2,8,0,0.204,0.666,107,102,-6,1B-3B,0.249,
273,José Contreras,TOT,MLB,10,0,0,0,0,0,34,34,,P,0,0.1
274,José Contreras,CHW,AL,6,0,0,0,0,0,116,97,-1,OF,0.393,0
275,José Contreras,COL,NL,4,0,0,0,0,0,6,6,,P,0.338,-0.9
276,Aaron Cook,COL,NL,58,0,6,0,0.114,0.382,11,2,2,OF,0.187,0
277,Alex Cora*,NYM,NL,308,1,18,8,0.251,0.63,3,0,,P,0.25,3.3
278,Roy Corcoran,SEA,AL,0,0,0,0,,,33,32,,P,0.32,
279,Francisco Cordero,CIN,NL,0,0,0,0,,,144,142,18,OF,0.316,0.4
280,Lance Cormier,TBR,AL,0,0,0,0,,,64,0,,P,0.182,0
281,Manny Corpas,COL,NL,0,0,0,0,,,25,25,-2,1B,0.398,-0.3
282,Carlos Corporán#,MIL,NL,1,0,0,0,1,2,7,7,-1,OF,0.493,2.2
283,Kevin Correia,SDP,NL,68,0,0,0,0.145,0.339,31,31,,P,0.131,0
284,Chris Coste,TOT,NL,230,2,18,0,0.224,0.618,3,0,0,OF,0.345,0.6
285,Chris Coste,PHI,NL,118,2,8,0,0.245,0.724,134,129,0,3B-OF-1B-2B,0.71,-0.6
286,Chris Coste,HOU,NL,112,0,10,0,0.204,0.511,20,20,-3,SS-2B-OF,0.71,-0.1
287,Neal Cotts*,CHC,NL,0,0,0,0,,,28,0,,P,0.307,0
288,Craig Counsell*,MIL,NL,459,4,39,3,0.285,0.766,15,14,,P,0,1.7
289,Jesse Crain,MIN,AL,0,0,0,0,,,17,6,-1,3B-SS-2B,0.253,0.1
290,Carl Crawford*,TBR,AL,672,15,68,60,0.305,0.816,109,92,-2,OF,0.091,0
291,Joe Crede,MIN,AL,367,15,48,0,0.225,0.703,33,33,-1,C,0.309,-0.2
292,Coco Crisp#,KCR,AL,215,3,14,13,0.228,0.714,77,59,7,OF,0.362,0
